PASS
orders=70..105
coverage=6572800..292031545
covered_count=285458746
per_order_distinct_bounded_values:
70,31606502
71,17253481
72,36742890
73,39440373
74,42513973
75,23072841
76,49043301
77,52567613
78,56156532
79,30347913
80,64370956
81,68673799
82,73343251
83,39298803
84,83260249
85,88646559
86,94210284
87,50440877
88,106049578
89,112886771
90,119738941
91,63848595
92,134342971
93,141864607
94,150320234
95,79923269
96,167898568
97,177231609
98,186684381
99,99151775
100,207774061
101,218827523
102,230349338
103,121670117
104,254871122
105,264566888
