h,n,annuli,L,U,switch_width,margin_from_previous
464,928,4,4799040943098,12383505605382,215457655,7445561296758
465,930,4,4844860807471,12523693904737,215457655,7538644797912
466,932,4,4890994185186,12665176103588,215457655,7632699719552
467,934,4,4937442464479,12807961209241,215457655,7727733639110
468,936,4,4984207036576,12952058270736,215457655,7823754172666
469,938,4,5031289295693,13097476378943,215457655,7920768975044
470,940,4,5078690639036,13244224666658,215457655,8018785739908
471,942,4,5126412466801,13392312308699,215457655,8117812199858
472,944,4,5174456182174,13541748522002,215457655,8217856126526
473,946,4,5222823191331,13692542565717,215457655,8318925330672
474,948,4,5271514903438,13844703741304,215457655,8421027662280
475,950,4,5320532730651,13998241392629,215457655,8524171010654
476,952,4,5369878088116,14153164906060,215457655,8628363304514
477,954,4,5419552393969,14309483710563,215457655,8733612512092
478,956,4,5469557069336,14467207277798,215457655,8839926641228
479,958,4,5519893538333,14626345122215,215457655,8947313739466
480,960,4,5570563228066,14786906801150,215457655,9055781894150
481,962,4,5621567568631,14948901914921,215457655,9165339232520
482,964,4,5672907993114,15112340106924,215457655,9275993921808
483,966,4,5724585937591,15277231063729,215457655,9387754169334
484,968,4,5776602841128,15443584515176,215457655,9500628222602
485,970,4,5828960145781,15611410234471,215457655,9614624369396
486,972,4,5881659296596,15780718038282,215457655,9729750937876
487,974,4,5934701741609,15951517786835,215457655,9846016296674
488,976,4,5988088931846,16123819384010,215457655,9963428854990
489,978,4,6041822321323,16297632777437,215457655,10081997062688
490,980,4,6095903367046,16472967958592,215457655,10201729410392
491,982,4,6150333529011,16649834962893,215457655,10322634429582
492,984,4,6205114270204,16828243869796,215457655,10444720692690
493,986,4,6260247056601,17008204802891,215457655,10567996813196
494,988,4,6315733357168,17189727929998,215457655,10692471445724
495,990,4,6371574643861,17372823463263,215457655,10818153286138
496,992,4,6427772391626,17557501659254,215457655,10945051071638
497,994,4,6484328078399,17743772819057,215457655,11073173580856
498,996,4,6541243185106,17931647288372,215457655,11202529633952
499,998,4,6598519195663,18121135457609,215457655,11333128092710
500,1000,4,6656157596976,18312247761984,215457655,11464977860634
501,1002,4,6714159878941,18504994681615,215457655,11598087883044
502,1004,4,6772527534444,18699386741618,215457655,11732467147172
503,1006,4,6831262059361,18895434512203,215457655,11868124682258
504,1008,4,6890364952558,19093148608770,215457655,12005069559646
505,1010,4,6949837715891,19292539692005,215457655,12143310892880
506,1012,4,7009681854206,19493618467976,215457655,12282857837800
507,1014,4,7069898875339,19696395688229,215457655,12423719592638
508,1016,4,7130490290116,19900882149884,215457655,12565905398114
509,1018,4,7191457612353,20107088695731,215457655,12709424537532
510,1020,4,7252802358856,20315026214326,215457655,12854286336876
511,1022,4,7314526049421,20524705640087,215457655,13000500164906
512,1024,4,7376630206834,20736137953390,215457655,13148075433254
513,1026,4,7439116356871,20949334180665,215457655,13297021596520
514,1028,4,7501986028298,21164305394492,215457655,13447348152368
515,1030,4,7565240752871,21381062713697,215457655,13599064641622
516,1032,4,7628882065336,21599617303448,215457655,13752180648362
517,1034,4,7692911503429,21819980375351,215457655,13906705800020
518,1036,4,7757330607876,22042163187546,215457655,14062649767476
519,1038,4,7822140922393,22266177044803,215457655,14220022265154
520,1040,4,7887343993686,22492033298618,215457655,14378833051118
521,1042,4,7952941371451,22719743347309,215457655,14539091927168
522,1044,4,8018934608374,22949318636112,215457655,14700808738936
523,1046,4,8085325260131,23180770657277,215457655,14863993375982
524,1048,4,8152114885388,23414110950164,215457655,15028655771890
525,1050,4,8219305045801,23649351101339,215457655,15194805904364
526,1052,4,8286897306016,23886502744670,215457655,15362453795324
527,1054,4,8354893233669,24125577561423,215457655,15531609511002
528,1056,4,8423294399386,24366587280358,215457655,15702283162038
529,1058,4,8492102376783,24609543677825,215457655,15874484903576
530,1060,4,8561318742466,24854458577860,215457655,16048224935360
531,1062,4,8630945076031,25101343852281,215457655,16223513501830
532,1064,4,8700982960064,25350211420784,215457655,16400360892218
533,1066,5,9984993044152,24387514187028,1607941615,15365218376633
534,1068,5,10076363691439,24619877392175,1607941615,14311150495590
535,1070,5,10168300545906,24854109047706,1607941615,14451576846270
536,1072,5,10260805829243,25090220638645,1607941615,14593303218464
537,1074,5,10353881767306,25328223697198,1607941615,14736338871340
538,1076,5,10447530590117,25568129802849,1607941615,14880693107082
539,1078,5,10541754531864,25809950582456,1607941615,15026375270986
540,1080,5,10636555830901,26053697710347,1607941615,15173394751556
541,1082,5,10731936729748,26299382908416,1607941615,15321760980600
542,1084,5,10827899475091,26547017946219,1607941615,15471483433326
543,1086,5,10924446317782,26796614641070,1607941615,15622571628438
544,1088,5,11021579512839,27048184858137,1607941615,15775035128232
545,1090,5,11119301319446,27301740510538,1607941615,15928883538692
546,1092,5,11217614000953,27557293559437,1607941615,16084126509586
547,1094,5,11316519824876,27814856014140,1607941615,16240773734562
548,1096,5,11416021062897,28074439932191,1607941615,16398834951244
549,1098,5,11516119990864,28336057419468,1607941615,16558319941328
550,1100,5,11616818888791,28599720630279,1607941615,16719238530678
551,1102,5,11718120040858,28865441767458,1607941615,16881600589422
552,1104,5,11820025735411,29133233082461,1607941615,17045416032048
553,1106,5,11922538264962,29403106875462,1607941615,17210694817500
554,1108,5,12025659926189,29675075495449,1607941615,17377446949274
555,1110,5,12129393019936,29949151340320,1607941615,17545682475514
556,1112,5,12233739851213,30225346856979,1607941615,17715411489108
557,1114,5,12338702729196,30503674541432,1607941615,17886644127784
558,1116,5,12444283967227,30784146938883,1607941615,18059390574206
559,1118,5,12550485882814,31066776643830,1607941615,18233661056070
560,1120,5,12657310797631,31351576300161,1607941615,18409465846200
561,1122,5,12764761037518,31638558601250,1607941615,18586815262644
562,1124,5,12872838932481,31927736290053,1607941615,18765719668770
563,1126,5,12981546816692,32219122159204,1607941615,18946189473362
564,1128,5,13090887028489,32512729051111,1607941615,19128235130716
565,1130,5,13200861910376,32808569858052,1607941615,19311867140736
566,1132,5,13311473809023,33106657522271,1607941615,19497096049030
567,1134,5,13422725075266,33407005036074,1607941615,19683932447006
568,1136,5,13534618064107,33709625441925,1607941615,19872386971968
569,1138,5,13647155134714,34014531832542,1607941615,20062470307212
570,1140,5,13760338650421,34321737350993,1607941615,20254193182122
571,1142,5,13874170978728,34631255190792,1607941615,20447566372266
572,1144,5,13988654491301,34943098595995,1607941615,20642600699492
573,1146,5,14103791563972,35257280861296,1607941615,20839307032024
574,1148,5,14219584576739,35573815332123,1607941615,21037696284558
575,1150,5,14336035913766,35892715404734,1607941615,21237779418358
576,1152,5,14453147963383,36213994526313,1607941615,21439567441352
577,1154,5,14570923118086,36537666195066,1607941615,21643071408228
578,1156,5,14689363774537,36863743960317,1607941615,21848302420530
579,1158,5,14808472333564,37192241422604,1607941615,22055271626754
580,1160,5,14928251200161,37523172233775,1607941615,22263990222444
